,French,English
0,histoire,history
1,demande,request
2,genre,kind
3,mois,month
4,laisser,let
5,car,because
6,mettre,to put
7,laisse,leash
8,eux,them
9,ville,city
10,parlé,speak
11,arrivé,come
12,bébé,baby
13,vont,will
14,pendant,while
15,revoir,meet again
16,place,square
17,compris,understood
18,voici,here is
19,pourrais,could
20,affaire,case
21,type,type
22,leurs,their
23,donné,given
24,corps,body
25,endroit,place
26,façon,way
27,écoute,listen
28,dont,whose
29,trouve,find
30,premier,first
31,perdu,lost
32,main,hand
33,pouvoir,power
34,tellement,so much
35,venu,came
36,suite,after
37,venez,come
38,devant,in front of
39,demandé,request
40,belle,beautiful
41,aimerais,would like to
42,mari,husband
43,eau,water
44,nouvelle,new
45,arrêter,Stop
46,compte,account
47,donne,given
48,loin,far
49,fin,end
50,croire,believe
51,gros,large
52,filles,girls
53,jouer,to play
